Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,checkpoint-eqdz,branch-m64g,branch-jfu9,branch-n4qm,branch-vz7v,randomiser-q5z8,branch-gyqg,branch-lrfh,checkpoint-pq3t,checkpoint-p1b9,branch-pusb,Manipulation: Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response,Attempt,Correct,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,aud1,aud2,correctResponse,picture,ANSWER,incorrect
1,1765235641119,08/12/2025 23:14:01,1765235627907,-5,08/12/2025 18:13:47,250842,10,task-y5i7,,51270075,670391e01385e6794f0eff25,14710098,,complete,,6938a58edf434b9f87cd0a5c,computer,Desktop or Laptop,Windows 10,Edge 142.0.0.0,1536x864,1528x698,day1done,,,Pic Recognition (2AFC),6,day1done,attention_pass,audio-Success,,,A,,,,,eligible,picRecog_A,,,BEGIN TASK,,,,,,,,,,,,,,,,,,,,,,
2,1765235645123,08/12/2025 23:14:05,1765235631691,-5,08/12/2025 18:13:51,250842,10,task-y5i7,,51270075,670391e01385e6794f0eff25,14710098,,complete,,6938a58edf434b9f87cd0a5c,computer,Desktop or Laptop,Windows 10,Edge 142.0.0.0,1536x864,1528x698,day1done,,,Pic Recognition (2AFC),6,day1done,attention_pass,audio-Success,,,A,,,,,eligible,picRecog_A,picRecog_A,1,1,1,Screen 1,advancementZone,continue_button,3691.4000000003725,,,0,,,,,,,,recog-Instructions,,,,,,
3,1765235646468,08/12/2025 23:14:06,1765235633307,-5,08/12/2025 18:13:53,250842,10,task-y5i7,,51270075,670391e01385e6794f0eff25,14710098,,complete,,6938a58edf434b9f87cd0a5c,computer,Desktop or Laptop,Windows 10,Edge 142.0.0.0,1536x864,1528x698,day1done,,,Pic Recognition (2AFC),6,day1done,attention_pass,audio-Success,,,A,,,,,eligible,picRecog_A,picRecog_A,11,1,1,opt1,Zone1,content_audio,1547.800000000745,,,0,,,,,,,1,recog-trial,tesdar.mp3,regby.mp3,2,car.PNG,regby,tesdar
4,1765235648047,08/12/2025 23:14:08,1765235634905,-5,08/12/2025 18:13:54,250842,10,task-y5i7,,51270075,670391e01385e6794f0eff25,14710098,,complete,,6938a58edf434b9f87cd0a5c,computer,Desktop or Laptop,Windows 10,Edge 142.0.0.0,1536x864,1528x698,day1done,,,Pic Recognition (2AFC),6,day1done,attention_pass,audio-Success,,,A,,,,,eligible,picRecog_A,picRecog_A,11,1,2,opt2,Zone1,content_audio,1569.8999999985099,,,0,,,,,,,1,recog-trial,tesdar.mp3,regby.mp3,2,car.PNG,regby,tesdar
5,1765235648716,08/12/2025 23:14:08,1765235635565,-5,08/12/2025 18:13:55,250842,10,task-y5i7,,51270075,670391e01385e6794f0eff25,14710098,,complete,,6938a58edf434b9f87cd0a5c,computer,Desktop or Laptop,Windows 10,Edge 142.0.0.0,1536x864,1528x698,day1done,,,Pic Recognition (2AFC),6,day1done,attention_pass,audio-Success,,,A,,,,,eligible,picRecog_A,picRecog_A,11,1,3,response,Zone1,response_keyboard,635.9000000003725,,1,1,,,,,,,1,recog-trial,tesdar.mp3,regby.mp3,2,car.PNG,regby,tesdar
6,1765235649710,08/12/2025 23:14:09,1765235636550,-5,08/12/2025 18:13:56,250842,10,task-y5i7,,51270075,670391e01385e6794f0eff25,14710098,,complete,,6938a58edf434b9f87cd0a5c,computer,Desktop or Laptop,Windows 10,Edge 142.0.0.0,1536x864,1528x698,day1done,,,Pic Recognition (2AFC),6,day1done,attention_pass,audio-Success,,,A,,,,,eligible,picRecog_A,picRecog_A,11,1,4,ITI,Zone1,timelimit_screen,1001,,,0,,,,,1,,1,recog-trial,tesdar.mp3,regby.mp3,2,car.PNG,regby,tesdar
7,1765235651307,08/12/2025 23:14:11,1765235638166,-5,08/12/2025 18:13:58,250842,10,task-y5i7,,51270075,670391e01385e6794f0eff25,14710098,,complete,,6938a58edf434b9f87cd0a5c,computer,Desktop or Laptop,Windows 10,Edge 142.0.0.0,1536x864,1528x698,day1done,,,Pic Recognition (2AFC),6,day1done,attention_pass,audio-Success,,,A,,,,,eligible,picRecog_A,picRecog_A,15,2,1,opt1,Zone1,content_audio,1549.800000000745,,,0,,,,,,,1,recog-trial,femod.mp3,vorgal.mp3,2,flower.PNG,vorgal,femod
8,1765235652896,08/12/2025 23:14:12,1765235639746,-5,08/12/2025 18:13:59,250842,10,task-y5i7,,51270075,670391e01385e6794f0eff25,14710098,,complete,,6938a58edf434b9f87cd0a5c,computer,Desktop or Laptop,Windows 10,Edge 142.0.0.0,1536x864,1528x698,day1done,,,Pic Recognition (2AFC),6,day1done,attention_pass,audio-Success,,,A,,,,,eligible,picRecog_A,picRecog_A,15,2,2,opt2,Zone1,content_audio,1551.5,,,0,,,,,,,1,recog-trial,femod.mp3,vorgal.mp3,2,flower.PNG,vorgal,femod
9,1765235653736,08/12/2025 23:14:13,1765235640590,-5,08/12/2025 18:14:00,250842,10,task-y5i7,,51270075,670391e01385e6794f0eff25,14710098,,complete,,6938a58edf434b9f87cd0a5c,computer,Desktop or Laptop,Windows 10,Edge 142.0.0.0,1536x864,1528x698,day1done,,,Pic Recognition (2AFC),6,day1done,attention_pass,audio-Success,,,A,,,,,eligible,picRecog_A,picRecog_A,15,2,3,response,Zone1,response_keyboard,820,,2,1,1,,,,,,1,recog-trial,femod.mp3,vorgal.mp3,2,flower.PNG,vorgal,femod
10,1765235655013,08/12/2025 23:14:15,1765235641587,-5,08/12/2025 18:14:01,250842,10,task-y5i7,,51270075,670391e01385e6794f0eff25,14710098,,complete,,6938a58edf434b9f87cd0a5c,computer,Desktop or Laptop,Windows 10,Edge 142.0.0.0,1536x864,1528x698,day1done,,,Pic Recognition (2AFC),6,day1done,attention_pass,audio-Success,,,A,,,,,eligible,picRecog_A,picRecog_A,15,2,4,ITI,Zone1,timelimit_screen,1001.0999999999985,,,0,,,,,1,,1,recog-trial,femod.mp3,vorgal.mp3,2,flower.PNG,vorgal,femod
11,1765235656351,08/12/2025 23:14:16,1765235643207,-5,08/12/2025 18:14:03,250842,10,task-y5i7,,51270075,670391e01385e6794f0eff25,14710098,,complete,,6938a58edf434b9f87cd0a5c,computer,Desktop or Laptop,Windows 10,Edge 142.0.0.0,1536x864,1528x698,day1done,,,Pic Recognition (2AFC),6,day1done,attention_pass,audio-Success,,,A,,,,,eligible,picRecog_A,picRecog_A,6,3,1,opt1,Zone1,content_audio,1553.699999999255,,,0,,,,,,,1,recog-trial,nusty.mp3,ballow.mp3,1,food.PNG,nusty,ballow
12,1765235657983,08/12/2025 23:14:17,1765235644825,-5,08/12/2025 18:14:04,250842,10,task-y5i7,,51270075,670391e01385e6794f0eff25,14710098,,complete,,6938a58edf434b9f87cd0a5c,computer,Desktop or Laptop,Windows 10,Edge 142.0.0.0,1536x864,1528x698,day1done,,,Pic Recognition (2AFC),6,day1done,attention_pass,audio-Success,,,A,,,,,eligible,picRecog_A,picRecog_A,6,3,2,opt2,Zone1,content_audio,1595.5999999996275,,,0,,,,,,,1,recog-trial,nusty.mp3,ballow.mp3,1,food.PNG,nusty,ballow
13,1765235658439,08/12/2025 23:14:18,1765235645292,-5,08/12/2025 18:14:05,250842,10,task-y5i7,,51270075,670391e01385e6794f0eff25,14710098,,complete,,6938a58edf434b9f87cd0a5c,computer,Desktop or Laptop,Windows 10,Edge 142.0.0.0,1536x864,1528x698,day1done,,,Pic Recognition (2AFC),6,day1done,attention_pass,audio-Success,,,A,,,,,eligible,picRecog_A,picRecog_A,6,3,3,response,Zone1,response_keyboard,443.40000000037253,,1,1,1,,,,,,1,recog-trial,nusty.mp3,ballow.mp3,1,food.PNG,nusty,ballow
14,1765235659440,08/12/2025 23:14:19,1765235646292,-5,08/12/2025 18:14:06,250842,10,task-y5i7,,51270075,670391e01385e6794f0eff25,14710098,,complete,,6938a58edf434b9f87cd0a5c,computer,Desktop or Laptop,Windows 10,Edge 142.0.0.0,1536x864,1528x698,day1done,,,Pic Recognition (2AFC),6,day1done,attention_pass,audio-Success,,,A,,,,,eligible,picRecog_A,picRecog_A,6,3,4,ITI,Zone1,timelimit_screen,1001.2000000000007,,,0,,,,,1,,1,recog-trial,nusty.mp3,ballow.mp3,1,food.PNG,nusty,ballow
15,1765235661111,08/12/2025 23:14:21,1765235647965,-5,08/12/2025 18:14:07,250842,10,task-y5i7,,51270075,670391e01385e6794f0eff25,14710098,,complete,,6938a58edf434b9f87cd0a5c,computer,Desktop or Laptop,Windows 10,Edge 142.0.0.0,1536x864,1528x698,day1done,,,Pic Recognition (2AFC),6,day1done,attention_pass,audio-Success,,,A,,,,,eligible,picRecog_A,picRecog_A,5,4,1,opt1,Zone1,content_audio,1613.9000000003725,,,0,,,,,,,1,recog-trial,dester.mp3,mowel.mp3,2,coat.PNG,mowel,dester
16,1765235662705,08/12/2025 23:14:22,1765235649565,-5,08/12/2025 18:14:09,250842,10,task-y5i7,,51270075,670391e01385e6794f0eff25,14710098,,complete,,6938a58edf434b9f87cd0a5c,computer,Desktop or Laptop,Windows 10,Edge 142.0.0.0,1536x864,1528x698,day1done,,,Pic Recognition (2AFC),6,day1done,attention_pass,audio-Success,,,A,,,,,eligible,picRecog_A,picRecog_A,5,4,2,opt2,Zone1,content_audio,1576,,,0,,,,,,,1,recog-trial,dester.mp3,mowel.mp3,2,coat.PNG,mowel,dester
17,1765235663060,08/12/2025 23:14:23,1765235649924,-5,08/12/2025 18:14:09,250842,10,task-y5i7,,51270075,670391e01385e6794f0eff25,14710098,,complete,,6938a58edf434b9f87cd0a5c,computer,Desktop or Laptop,Windows 10,Edge 142.0.0.0,1536x864,1528x698,day1done,,,Pic Recognition (2AFC),6,day1done,attention_pass,audio-Success,,,A,,,,,eligible,picRecog_A,picRecog_A,5,4,3,response,Zone1,response_keyboard,335.2000000011176,,2,1,1,,,,,,1,recog-trial,dester.mp3,mowel.mp3,2,coat.PNG,mowel,dester
18,1765235664064,08/12/2025 23:14:24,1765235650913,-5,08/12/2025 18:14:10,250842,10,task-y5i7,,51270075,670391e01385e6794f0eff25,14710098,,complete,,6938a58edf434b9f87cd0a5c,computer,Desktop or Laptop,Windows 10,Edge 142.0.0.0,1536x864,1528x698,day1done,,,Pic Recognition (2AFC),6,day1done,attention_pass,audio-Success,,,A,,,,,eligible,picRecog_A,picRecog_A,5,4,4,ITI,Zone1,timelimit_screen,1001.1000000000022,,,0,,,,,1,,1,recog-trial,dester.mp3,mowel.mp3,2,coat.PNG,mowel,dester
19,1765235666003,08/12/2025 23:14:26,1765235652585,-5,08/12/2025 18:14:12,250842,10,task-y5i7,,51270075,670391e01385e6794f0eff25,14710098,,complete,,6938a58edf434b9f87cd0a5c,computer,Desktop or Laptop,Windows 10,Edge 142.0.0.0,1536x864,1528x698,day1done,,,Pic Recognition (2AFC),6,day1done,attention_pass,audio-Success,,,A,,,,,eligible,picRecog_A,picRecog_A,3,5,1,opt1,Zone1,content_audio,1611.4000000003725,,,0,,,,,,,1,recog-trial,rafar.mp3,dester.mp3,2,tree.PNG,dester,rafar
20,1765235667730,08/12/2025 23:14:27,1765235654205,-5,08/12/2025 18:14:14,250842,10,task-y5i7,,51270075,670391e01385e6794f0eff25,14710098,,complete,,6938a58edf434b9f87cd0a5c,computer,Desktop or Laptop,Windows 10,Edge 142.0.0.0,1536x864,1528x698,day1done,,,Pic Recognition (2AFC),6,day1done,attention_pass,audio-Success,,,A,,,,,eligible,picRecog_A,picRecog_A,3,5,2,opt2,Zone1,content_audio,1597.199999999255,,,0,,,,,,,1,recog-trial,rafar.mp3,dester.mp3,2,tree.PNG,dester,rafar
21,1765235668042,08/12/2025 23:14:28,1765235654571,-5,08/12/2025 18:14:14,250842,10,task-y5i7,,51270075,670391e01385e6794f0eff25,14710098,,complete,,6938a58edf434b9f87cd0a5c,computer,Desktop or Laptop,Windows 10,Edge 142.0.0.0,1536x864,1528x698,day1done,,,Pic Recognition (2AFC),6,day1done,attention_pass,audio-Success,,,A,,,,,eligible,picRecog_A,picRecog_A,3,5,3,response,Zone1,response_keyboard,342.69999999925494,,1,1,,,,,,,1,recog-trial,rafar.mp3,dester.mp3,2,tree.PNG,dester,rafar
22,1765235668709,08/12/2025 23:14:28,1765235655568,-5,08/12/2025 18:14:15,250842,10,task-y5i7,,51270075,670391e01385e6794f0eff25,14710098,,complete,,6938a58edf434b9f87cd0a5c,computer,Desktop or Laptop,Windows 10,Edge 142.0.0.0,1536x864,1528x698,day1done,,,Pic Recognition (2AFC),6,day1done,attention_pass,audio-Success,,,A,,,,,eligible,picRecog_A,picRecog_A,3,5,4,ITI,Zone1,timelimit_screen,1001.2000000000007,,,0,,,,,1,,1,recog-trial,rafar.mp3,dester.mp3,2,tree.PNG,dester,rafar
23,1765235670391,08/12/2025 23:14:30,1765235657246,-5,08/12/2025 18:14:17,250842,10,task-y5i7,,51270075,670391e01385e6794f0eff25,14710098,,complete,,6938a58edf434b9f87cd0a5c,computer,Desktop or Laptop,Windows 10,Edge 142.0.0.0,1536x864,1528x698,day1done,,,Pic Recognition (2AFC),6,day1done,attention_pass,audio-Success,,,A,,,,,eligible,picRecog_A,picRecog_A,10,6,1,opt1,Zone1,content_audio,1618.800000000745,,,0,,,,,,,1,recog-trial,rafar.mp3,mowel.mp3,1,animal.PNG,rafar,mowel
24,1765235672025,08/12/2025 23:14:32,1765235658885,-5,08/12/2025 18:14:18,250842,10,task-y5i7,,51270075,670391e01385e6794f0eff25,14710098,,complete,,6938a58edf434b9f87cd0a5c,computer,Desktop or Laptop,Windows 10,Edge 142.0.0.0,1536x864,1528x698,day1done,,,Pic Recognition (2AFC),6,day1done,attention_pass,audio-Success,,,A,,,,,eligible,picRecog_A,picRecog_A,10,6,2,opt2,Zone1,content_audio,1615,,,0,,,,,,,1,recog-trial,rafar.mp3,mowel.mp3,1,animal.PNG,rafar,mowel
25,1765235672389,08/12/2025 23:14:32,1765235659248,-5,08/12/2025 18:14:19,250842,10,task-y5i7,,51270075,670391e01385e6794f0eff25,14710098,,complete,,6938a58edf434b9f87cd0a5c,computer,Desktop or Laptop,Windows 10,Edge 142.0.0.0,1536x864,1528x698,day1done,,,Pic Recognition (2AFC),6,day1done,attention_pass,audio-Success,,,A,,,,,eligible,picRecog_A,picRecog_A,10,6,3,response,Zone1,response_keyboard,338.2999999988824,,1,1,1,,,,,,1,recog-trial,rafar.mp3,mowel.mp3,1,animal.PNG,rafar,mowel
26,1765235673390,08/12/2025 23:14:33,1765235660240,-5,08/12/2025 18:14:20,250842,10,task-y5i7,,51270075,670391e01385e6794f0eff25,14710098,,complete,,6938a58edf434b9f87cd0a5c,computer,Desktop or Laptop,Windows 10,Edge 142.0.0.0,1536x864,1528x698,day1done,,,Pic Recognition (2AFC),6,day1done,attention_pass,audio-Success,,,A,,,,,eligible,picRecog_A,picRecog_A,10,6,4,ITI,Zone1,timelimit_screen,1001.2000000000044,,,0,,,,,1,,1,recog-trial,rafar.mp3,mowel.mp3,1,animal.PNG,rafar,mowel
27,1765235675346,08/12/2025 23:14:35,1765235661927,-5,08/12/2025 18:14:21,250842,10,task-y5i7,,51270075,670391e01385e6794f0eff25,14710098,,complete,,6938a58edf434b9f87cd0a5c,computer,Desktop or Laptop,Windows 10,Edge 142.0.0.0,1536x864,1528x698,day1done,,,Pic Recognition (2AFC),6,day1done,attention_pass,audio-Success,,,A,,,,,eligible,picRecog_A,picRecog_A,16,7,1,opt1,Zone1,content_audio,1627,,,0,,,,,,,1,recog-trial,wabon.mp3,tabric.mp3,1,backpack.PNG,wabon,tabric
28,1765235676729,08/12/2025 23:14:36,1765235663585,-5,08/12/2025 18:14:23,250842,10,task-y5i7,,51270075,670391e01385e6794f0eff25,14710098,,complete,,6938a58edf434b9f87cd0a5c,computer,Desktop or Laptop,Windows 10,Edge 142.0.0.0,1536x864,1528x698,day1done,,,Pic Recognition (2AFC),6,day1done,attention_pass,audio-Success,,,A,,,,,eligible,picRecog_A,picRecog_A,16,7,2,opt2,Zone1,content_audio,1634.699999999255,,,0,,,,,,,1,recog-trial,wabon.mp3,tabric.mp3,1,backpack.PNG,wabon,tabric
29,1765235677493,08/12/2025 23:14:37,1765235664345,-5,08/12/2025 18:14:24,250842,10,task-y5i7,,51270075,670391e01385e6794f0eff25,14710098,,complete,,6938a58edf434b9f87cd0a5c,computer,Desktop or Laptop,Windows 10,Edge 142.0.0.0,1536x864,1528x698,day1done,,,Pic Recognition (2AFC),6,day1done,attention_pass,audio-Success,,,A,,,,,eligible,picRecog_A,picRecog_A,16,7,3,response,Zone1,response_keyboard,735.3000000007451,,1,1,1,,,,,,1,recog-trial,wabon.mp3,tabric.mp3,1,backpack.PNG,wabon,tabric
30,1765235678485,08/12/2025 23:14:38,1765235665328,-5,08/12/2025 18:14:25,250842,10,task-y5i7,,51270075,670391e01385e6794f0eff25,14710098,,complete,,6938a58edf434b9f87cd0a5c,computer,Desktop or Laptop,Windows 10,Edge 142.0.0.0,1536x864,1528x698,day1done,,,Pic Recognition (2AFC),6,day1done,attention_pass,audio-Success,,,A,,,,,eligible,picRecog_A,picRecog_A,16,7,4,ITI,Zone1,timelimit_screen,1001.1000000000058,,,0,,,,,1,,1,recog-trial,wabon.mp3,tabric.mp3,1,backpack.PNG,wabon,tabric
31,1765235680088,08/12/2025 23:14:40,1765235666946,-5,08/12/2025 18:14:26,250842,10,task-y5i7,,51270075,670391e01385e6794f0eff25,14710098,,complete,,6938a58edf434b9f87cd0a5c,computer,Desktop or Laptop,Windows 10,Edge 142.0.0.0,1536x864,1528x698,day1done,,,Pic Recognition (2AFC),6,day1done,attention_pass,audio-Success,,,A,,,,,eligible,picRecog_A,picRecog_A,12,8,1,opt1,Zone1,content_audio,1555.800000000745,,,0,,,,,,,1,recog-trial,solly.mp3,nusty.mp3,1,monster.PNG,solly,nusty
